KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1997008","K40","STUK01",,1910,3,
"WSTUK1997009","CS137","STUK01",,100,3,
"WSTUK1997009","K40","STUK01",,2270,3,
"WSTUK1997009","SR90","STUK02",,15.6,10,
"WSTUK1997010","CS137","STUK01",,47.1,4,
"WSTUK1997010","K40","STUK01",,1580,4,
"WSTUK1997011","CS134","STUK01","<",1.7,0,
"WSTUK1997011","CS137","STUK01",,71.3,4,
"WSTUK1997011","K40","STUK01",,2690,4,
"WSTUK1997012","CS137","STUK01",,57.4,4,
"WSTUK1997012","K40","STUK01",,1950,3,
"WSTUK1997012","SR90","STUK02",,15.5,10,
"WSTUK1997013","CS134","STUK01",,1.34,28,
"WSTUK1997013","CS137","STUK01",,65.2,3,
"WSTUK1997013","K40","STUK01",,2450,3,
"WSTUK1997014","AM241","STUK03",,0.02,17,
"WSTUK1997014","PU239240","STUK03","<",0.002,0,
"WSTUK1997015","CS134","STUK01","<",2,0,
"WSTUK1997015","CS137","STUK01",,69.2,4,
"WSTUK1997015","K40","STUK01",,1640,4,
"WSTUK1997015","SR90","STUK02",,13.5,10,
