KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1992024","CS137","STUK01",,85,6,
"WSTUK1992024","K40","STUK01",,3400,6,
"WSTUK1992025","CS134","STUK01",,8,6,
"WSTUK1992025","CS137","STUK01",,97,5,
"WSTUK1992025","K40","STUK01",,2300,6,
"WSTUK1992025","SR90","STUK02",,20,10,
"WSTUK1992026","CS137","STUK01",,30,7,
"WSTUK1992026","K40","STUK01",,3700,6,
"WSTUK1993001","CS134","STUK01",,3.69,13,
"WSTUK1993001","CS137","STUK01",,7.36,4,
"WSTUK1993001","K40","STUK01",,908,4,
"WSTUK1993002","CS134","STUK01",,4.85,8,
"WSTUK1993002","CS137","STUK01",,88.7,4,
"WSTUK1993002","K40","STUK01",,1090,4,
"WSTUK1993002","SR90","STUK02",,13.1,10,
"WSTUK1993003","CS134","STUK01",,5.25,9,
"WSTUK1993003","CS137","STUK01",,100,4,
"WSTUK1993003","K40","STUK01",,1200,4,
"WSTUK1993003","SR90","STUK02",,13.3,10,
"WSTUK1993004","CS134","STUK01",,5.77,6,
"WSTUK1993004","CS137","STUK01",,108,3,
"WSTUK1993004","K40","STUK01",,1280,4,
"WSTUK1993005","CS134","STUK01",,6.92,10,
"WSTUK1993005","CS137","STUK01",,121,4,
"WSTUK1993005","K40","STUK01",,1390,4,
"WSTUK1993006","CS134","STUK01",,7.66,8,
"WSTUK1993006","CS137","STUK01",,135,4,
"WSTUK1993006","K40","STUK01",,1660,4,
"WSTUK1993007","CS134","STUK01",,9.76,8,
"WSTUK1993007","CS137","STUK01",,141,4,
"WSTUK1993007","K40","STUK01",,1900,4,
"WSTUK1993008","CS134","STUK01",,8.369999999999999,6,
"WSTUK1993008","CS137","STUK01",,143,3,
"WSTUK1993008","K40","STUK01",,1930,4,
"WSTUK1993009","CS134","STUK01",,10.8,13,
"WSTUK1993009","CS137","STUK01",,178,4,
"WSTUK1993009","K40","STUK01",,2460,4,
"WSTUK1993010","CS134","STUK01",,8.91,8,
"WSTUK1993010","CS137","STUK01",,155,4,
"WSTUK1993010","K40","STUK01",,2200,4,
"WSTUK1993011","CS134","STUK01",,7.96,10,
"WSTUK1993011","CS137","STUK01",,144,4,
"WSTUK1993011","K40","STUK01",,2040,4,
"WSTUK1993011","SR90","STUK02",,17.8,10,
"WSTUK1993012","CS134","STUK01",,7.43,9,
"WSTUK1993012","CS137","STUK01",,133,3,
"WSTUK1993012","K40","STUK01",,2200,4,
"WSTUK1993012","SR90","STUK02",,22.6,10,
"WSTUK1993013","CS134","STUK01",,4.64,12,
"WSTUK1993013","CS137","STUK01",,66.09999999999999,4,
"WSTUK1993013","K40","STUK01",,1570,4,
"WSTUK1993014","CS134","STUK01",,5.28,14,
"WSTUK1993014","CS137","STUK01",,77.7,4,
"WSTUK1993014","K40","STUK01",,2170,4,
"WSTUK1993015","CS134","STUK01",,4.18,19,
"WSTUK1993015","CS137","STUK01",,62.5,4,
"WSTUK1993015","K40","STUK01",,1650,4,
"WSTUK1993015","SR90","STUK02",,10,10,
"WSTUK1993016","CS134","STUK01",,5.21,15,
"WSTUK1993016","CS137","STUK01",,93.2,4,
"WSTUK1993016","K40","STUK01",,2640,4,
"WSTUK1993016","SR90","STUK02",,10.6,10,
"WSTUK1993017","CS134","STUK01",,4.45,10,
"WSTUK1993017","CS137","STUK01",,92.7,4,
"WSTUK1993017","K40","STUK01",,1870,4,
"WSTUK1993018","CS134","STUK01",,4.5,8,
"WSTUK1993018","CS137","STUK01",,82.8,4,
"WSTUK1993018","K40","STUK01",,1770,4,
"WSTUK1993018","SR90","STUK02",,19.1,10,
"WSTUK1993019","CS134","STUK01",,6.14,19,
"WSTUK1993019","CS137","STUK01",,74.5,5,
"WSTUK1993019","K40","STUK01",,2020,4,
"WSTUK1993020","CS134","STUK01",,6.86,16,
