KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,ERROR%_kg,< VALUE_Bq/m²,VALUE_Bq/m²,ERROR%_m²,DATE_OF_ENTRY
"SKRIL2012083","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012084","RA226",,,63,21,,,,"08/20/14 00:00:00"
"SKRIL2012085","RA226",,,49,20,,,,"08/20/14 00:00:00"
"SKRIL2012086","RA226",,,40,20,,,,"08/20/14 00:00:00"
"SKRIL2012087","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012088","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012089","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012090","RA226",,,39,21,,,,"08/20/14 00:00:00"
"SKRIL2012091","RA226",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012092","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012093","RA226",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012094","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012095","RA226",,,38,21,,,,"08/20/14 00:00:00"
"SKRIL2012096","RA226",,,24,29,,,,"08/20/14 00:00:00"
"SKRIL2012097","RA226",,,77,21,,,,"08/20/14 00:00:00"
"SKRIL2012098","RA226",,,57,25,,,,"08/20/14 00:00:00"
"SKRIL2012099","RA226",,,61,23,,,,"08/20/14 00:00:00"
"SKRIL2012100","RA226",,,59,24,,,,"08/20/14 00:00:00"
"SKRIL2012101","RA226",,,60,23,,,,"08/20/14 00:00:00"
"SKRIL2012102","RA226",,,53,25,,,,"08/20/14 00:00:00"
"SKRIL2012103","RA226",,,130,23,,,,"08/20/14 00:00:00"
"SKRIL2012104","RA226",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012105","RA226",,,46,26,,,,"08/20/14 00:00:00"
"SKRIL2012106","RA226",,,39,31,,,,"08/20/14 00:00:00"
"SKRIL2012107","RA226",,,31,35,,,,"08/20/14 00:00:00"
"SKRIL2012110","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012111","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012112","RA226",,,36,22,,,,"08/20/14 00:00:00"
"SKRIL2012113","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012114","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012115","RA226",,,44,20,,,,"08/20/14 00:00:00"
"SKRIL2012116","RA226",,,46,22,,,,"08/20/14 00:00:00"
"SKRIL2012117","RA226",,,48,21,,,,"08/20/14 00:00:00"
"SKRIL2012118","RA226",,,55,20,,,,"08/20/14 00:00:00"
"SKRIL2012119","RA226",,,49,20,,,,"08/20/14 00:00:00"
"SKRIL2012120","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012121","RA226",,,33,24,,,,"08/20/14 00:00:00"
"SKRIL2012122","RA226",,,70,20,,,,"08/20/14 00:00:00"
"SKRIL2012123","RA226",,,83,20,,,,"08/20/14 00:00:00"
"SKRIL2012124","RA226",,,79,20,,,,"08/20/14 00:00:00"
"SKRIL2012125","RA226",,,89,20,,,,"08/20/14 00:00:00"
"SKRIL2012126","RA226",,,81,21,,,,"08/20/14 00:00:00"
"SKRIL2012127","RA226",,,68,19,,,,"08/20/14 00:00:00"
"SKRIL2012128","RA226",,,49,24,,,,"08/20/14 00:00:00"
"SKRIL2012129","RA226",,,40,25,,,,"08/20/14 00:00:00"
"SKRIL2012130","RA226",,,33,27,,,,"08/20/14 00:00:00"
"SKRIL2012131","RA226",,,33,27,,,,"08/20/14 00:00:00"
"SKRIL2012132","RA226",,,35,26,,,,"08/20/14 00:00:00"
"SKRIL2012133","RA226",,,32,28,,,,"08/20/14 00:00:00"
"SKRIL2012134","RA226",,,30,27,,,,"08/20/14 00:00:00"
"SKRIL2012135","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012136","RA226",,,50,22,,,,"08/20/14 00:00:00"
"SKRIL2012137","RA226",,,58,21,,,,"08/20/14 00:00:00"
"SKRIL2012138","RA226",,,54,22,,,,"08/20/14 00:00:00"
"SKRIL2012139","RA226",,,46,24,,,,"08/20/14 00:00:00"
"SKRIL2012140","RA226",,,49,22,,,,"08/20/14 00:00:00"
"SKRIL2012141","RA226",,,57,21,,,,"08/20/14 00:00:00"
"SKRIL2012142","RA226",,,57,21,,,,"08/20/14 00:00:00"
"SKRIL2012143","RA226",,,50,22,,,,"08/20/14 00:00:00"
"SKRIL2012144","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012145","RA226",,,37,22,,,,"08/20/14 00:00:00"
"SKRIL2012146","RA226",,,36,19,,,,"08/20/14 00:00:00"
"SKRIL2012147","RA226",,,33,21,,,,"08/20/14 00:00:00"
"SKRIL2012148","RA226",,,35,23,,,,"08/20/14 00:00:00"
"SKRIL2012149","RA226",,,69,20,,,,"08/20/14 00:00:00"
"SKRIL2012150","RA226",,,46,22,,,,"08/20/14 00:00:00"
"SKRIL2012151","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012152","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012153","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012154","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012155","RA226",,,54,20,,,,"08/20/14 00:00:00"
"SKRIL2012156","RA226",,,47,21,,,,"08/20/14 00:00:00"
"SKRIL2012157","RA226",,,48,21,,,,"08/20/14 00:00:00"
"SKRIL2012158","RA226",,,42,21,,,,"08/20/14 00:00:00"
"SKRIL2012159","RA226",,,63,21,,,,"08/20/14 00:00:00"
"SKRIL2012160","RA226",,,47,23,,,,"08/20/14 00:00:00"
"SKRIL2012161","RA226",,,50,22,,,,"08/20/14 00:00:00"
"SKRIL2012162","RA226",,,47,23,,,,"08/20/14 00:00:00"
"SKRIL2012163","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012164","RA226",,,54,26,,,,"08/20/14 00:00:00"
"SKRIL2012165","RA226",,,52,25,,,,"08/20/14 00:00:00"
"SKRIL2012166","RA226",,,39,23,,,,"08/20/14 00:00:00"
"SKRIL2012167","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012168","RA226",,,30,23,,,,"08/20/14 00:00:00"
"SKRIL2012169","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012170","RA226",,,32,22,,,,"08/20/14 00:00:00"
"SKRIL2012171","RA226",,,38,21,,,,"08/20/14 00:00:00"
"SKRIL2012172","RA226",,,32,22,,,,"08/20/14 00:00:00"
"SKRIL2012173","RA226",,,30,20,,,,"08/20/14 00:00:00"
"SKRIL2012174","RA226",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012175","RA226",,,32,22,,,,"08/20/14 00:00:00"
"SKRIL2012176","RA226",,,27,22,,,,"08/20/14 00:00:00"
"SKRIL2012177","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012178","RA226",,,61,21,,,,"08/20/14 00:00:00"
"SKRIL2012179","RA226",,,55,20,,,,"08/20/14 00:00:00"
"SKRIL2012180","RA226",,,53,21,,,,"08/20/14 00:00:00"
"SKRIL2012181","RA226",,,54,20,,,,"08/20/14 00:00:00"
"SKRIL2012182","RA226",,,30,20,,,,"08/20/14 00:00:00"
"SKRIL2012183","RA226",,,29,21,,,,"08/20/14 00:00:00"
"SKRIL2012184","RA226",,,28,21,,,,"08/20/14 00:00:00"
"SKRIL2012185","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012186","RA226",,,30,20,,,,"08/20/14 00:00:00"
"SKRIL2012187","RA226",,,29,21,,,,"08/20/14 00:00:00"
"SKRIL2012188","RA226",,,26,19,,,,"08/20/14 00:00:00"
"SKRIL2012189","RA226",,,38,24,,,,"08/20/14 00:00:00"
"SKRIL2012190","RA226",,,31,32,,,,"08/20/14 00:00:00"
"SKRIL2012191","RA226",,,28,25,,,,"08/20/14 00:00:00"
"SKRIL2012192","RA226",,,29,24,,,,"08/20/14 00:00:00"
"SKRIL2012193","RA226",,,28,25,,,,"08/20/14 00:00:00"
"SKRIL2012194","RA226",,,24,25,,,,"08/20/14 00:00:00"
"SKRIL2012195","RA226",,,23,26,,,,"08/20/14 00:00:00"
