KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,ERROR%_kg,< VALUE_Bq/m²,VALUE_Bq/m²,ERROR%_m²,DATE_OF_ENTRY
"SDHIG1987140","RU106","3",,4.4,29,,90.59999999999999,,
"SDHIG1987140","SB125","3",,2.3,18,,47.4,,
"SDHIG1987143","AG110M","3",,1,,,,,
"SDHIG1987143","CO60","3",,1,24,,13.6,,
"SDHIG1987143","CS134","3",,2.9,11,,39.4,,
"SDHIG1987143","CS137","3",,85,4,,116,,
"SDHIG1987143","K40","3",,395,2,,5380,,
"SDHIG1987143","RU106","3",,8,15,,109,,
"SDHIG1987143","SB125","3",,2.1,24,,28.6,,
"SDHIG1987146","AG110M","3",,1,,,,,
"SDHIG1987146","CO60","3",,0.9,34,,11.3,,
"SDHIG1987146","CS134","3",,2.7,27,,34,,
"SDHIG1987146","CS137","3",,10.7,6,,135,,
"SDHIG1987146","K40","3",,415,2,,5230,,
"SDHIG1987146","RU106","3",,4.9,,,,,
"SDHIG1987146","SB125","3",,3.1,27,,39.1,,
"SDHIG1987147","CO60","3",,1.3,35,,16,,
"SDHIG1987147","CS134","3",,1.1,,,,,
"SDHIG1987147","CS137","3",,12.9,7,,159,,
"SDHIG1987147","K40","3",,449,3,,,,
"SDHIG1987147","RU106","3",,1,,,,,
"SDHIG1987147","SB125","3",,3.2,29,,39.4,,
"SDHIG1987148","CO60","3",,0.7,35,,9.1,,
"SDHIG1987148","CS134","3",,1,,,,,
"SDHIG1987148","CS137","3",,5.6,5,,72.8,,
"SDHIG1987148","K40","3",,445,1,,,,
"SDHIG1987148","RU106","3",,1,,,,,
"SDHIG1987148","SB125","3",,0.8,,,,,
"SDHIG1987149","CO60","3",,0.9,,,,,
"SDHIG1987149","CS134","3",,1,,,,,
"SDHIG1987149","CS137","3",,3.5,17,,67.2,,
"SDHIG1987149","K40","3",,432,2,,,,
"SDHIG1987149","RU106","3",,1,,,,,
"SDHIG1987149","SB125","3",,1,,,,,
"SDHIG1987152","CO60","3",,1.2,28,,4.92,,
"SDHIG1987152","CS134","3",,18.8,3,,77.09999999999999,,
"SDHIG1987152","CS137","3",,80,1,,32.8,,
"SDHIG1987152","K40","3",,618,1,,,,
"SDHIG1987152","RU106","3",,102,3,,418,,
"SDHIG1987152","SB125","3",,9.300000000000001,10,,38.1,,
"SDHIG1987153","CO60","3",,4.4,19,,15.8,,
"SDHIG1987153","CS134","3",,10.9,9,,39.2,,
"SDHIG1987153","CS137","3",,66,3,,238,,
"SDHIG1987153","K40","3",,670,3,,,,
"SDHIG1987153","RU106","3",,56,12,,202,,
"SDHIG1987153","SB125","3",,12.8,19,,46.1,,
"SDHIG1987154","CO60","3",,1.9,28,,16.5,,
"SDHIG1987154","CS134","3",,2.8,28,,24.4,,
"SDHIG1987154","CS137","3",,37,3,,32.2,,
"SDHIG1987154","K40","3",,534,2,,,,
"SDHIG1987154","RU106","3",,21,21,,183,,
"SDHIG1987154","SB125","3",,4.3,22,,37.4,,
"SDHIG1987155","CO60","3",,1.7,26,,17.2,,
"SDHIG1987155","CS134","3",,1,,,,,
"SDHIG1987155","CS137","3",,17,5,,17.2,,
"SDHIG1987155","K40","3",,473,3,,,,
"SDHIG1987155","RU106","3",,9.300000000000001,26,,93.90000000000001,,
"SDHIG1987155","SB125","3",,3.4,19,,34.3,,
"SDHIG1987156","CO60","3",,0.9,19,,13.3,,
"SDHIG1987156","CS134","3",,0.8,,,,,
"SDHIG1987156","CS137","3",,9.4,9,,139,,
"SDHIG1987156","K40","3",,483,2,,,,
"SDHIG1987156","RU106","3",,5.8,,,,,
"SDHIG1987156","SB125","3",,1.4,,,,,
"SDHIG1987157","CO60","3",,1,30,,17.2,,
"SDHIG1987157","CS134","3",,1,,,,,
"SDHIG1987157","CS137","3",,2.8,8,,48.2,,
"SDHIG1987157","K40","3",,429,2,,,,
"SDHIG1987157","RU106","3",,1,,,,,
"SDHIG1987157","SB125","3",,1,,,,,
"SDHIG1987158","CO60","3",,0.5,38,,8.300000000000001,,
"SDHIG1987158","CS134","3",,1,,,,,
"SDHIG1987158","CS137","3",,2.5,12,,41.5,,
"SDHIG1987158","K40","3",,424,2,,,,
"SDHIG1987158","RU106","3",,1,,,,,
"SDHIG1987158","SB125","3",,1,,,,,
"SDHIG1987159","CO60","3",,0.3,23,,3.39,,
"SDHIG1987159","CS134","3",,1,,,,,
"SDHIG1987159","CS137","3",,0.8,13,,9.039999999999999,,
"SDHIG1987159","K40","3",,206,1,,,,
"SDHIG1987159","RU106","3",,1,,,,,
"SDHIG1987159","SB125","3",,1,,,,,
"SDHIG1987162","CO60","3",,0.5,,,,,
"SDHIG1987162","CS134","3",,1.8,15,,29.2,,
"SDHIG1987162","CS137","3",,4.3,7,,69.7,,
"SDHIG1987162","K40","3",,395,2,,,,
"SDHIG1987162","RU106","3",,4,27,,64.8,,
"SDHIG1987162","SB125","3",,0.8,,,,,
"SDHIG1987165","CO60","3",,2.6,18,,10.1,,
"SDHIG1987165","CS134","3",,18.3,7,,71.40000000000001,,
"SDHIG1987165","CS137","3",,83,2,,324,,
"SDHIG1987165","K40","3",,717,3,,,,
"SDHIG1987165","RU106","3",,97,11,,378,,
"SDHIG1987165","SB125","3",,17.5,15,,68.3,,
"SDHIG1987166","CO60","3",,1.9,17,,11,,
"SDHIG1987166","CS134","3",,5.8,13,,33.6,,
"SDHIG1987166","CS137","3",,26.1,4,,151,,
"SDHIG1987166","K40","3",,577,3,,,,
"SDHIG1987166","RU106","3",,13.8,32,,80,,
"SDHIG1987166","SB125","3",,4.4,24,,25.5,,
"SDHIG1987167","CO60","3",,2.5,24,,15,,
"SDHIG1987167","CS134","3",,1.8,,,,,
"SDHIG1987167","CS137","3",,11.7,7,,70.2,,
"SDHIG1987167","K40","3",,657,3,,,,
"SDHIG1987167","RU106","3",,16.4,32,,98.40000000000001,,
"SDHIG1987167","SB125","3",,4.7,25,,28.2,,
"SDHIG1987168","CO60","3",,0.9,,,,,
"SDHIG1987168","CS134","3",,1.3,,,,,
"SDHIG1987168","CS137","3",,7.1,9,,60.3,,
"SDHIG1987168","K40","3",,660,3,,,,
"SDHIG1987168","RU106","3",,9.1,,,,,
"SDHIG1987168","SB125","3",,1.9,,,,,
"SDHIG1987169","CO60","3",,1,,,,,
"SDHIG1987169","CS134","3",,1.4,,,,,
"SDHIG1987169","CS137","3",,4.7,8,,36.7,,
"SDHIG1987169","K40","3",,669,2,,,,
"SDHIG1987169","RU106","3",,1,,,,,
"SDHIG1987169","SB125","3",,1,,,,,
"SDHIG1987170","CO60","3",,1,,,,,
"SDHIG1987170","CS134","3",,1,,,,,
"SDHIG1987170","CS137","3",,3.3,11,,30.7,,
"SDHIG1987170","K40","3",,678,2,,,,
"SDHIG1987170","RU106","3",,1,,,,,
"SDHIG1987170","SB125","3",,1,,,,,
"SDHIG1987171","CO60","3",,1,,,,,
"SDHIG1987171","CS134","3",,1,,,,,
"SDHIG1987171","CS137","3",,2.1,15,,21.8,,
"SDHIG1987171","K40","3",,711,2,,,,
"SDHIG1987171","RU106","3",,1,,,,,
"SDHIG1987171","SB125","3",,1,,,,,
"SDHIG1987172","CO60","3",,2.6,24,,9.1,,
"SDHIG1987172","CS134","3",,14.4,8,,50.4,,
"SDHIG1987172","CS137","3",,94,2,,329,,
"SDHIG1987172","K40","3",,819,3,,,,
"SDHIG1987172","RU106","3",,48,15,,168,,
"SDHIG1987172","SB125","3",,4.1,,,,,
"SDHIG1987173","CO60","3",,1.3,,,,,
"SDHIG1987173","CS134","3",,11.6,8,,51,,
"SDHIG1987173","CS137","3",,80,2,,352,,
"SDHIG1987173","K40","3",,707,3,,,,
"SDHIG1987173","RU106","3",,37.1,16,,163,,
"SDHIG1987173","SB125","3",,1,,,,,
"SDHIG1987174","CO60","3",,1,,,,,
"SDHIG1987174","CS134","3",,1.9,,,,,
"SDHIG1987174","CS137","3",,56,3,,252,,
"SDHIG1987174","K40","3",,1,,,,,
"SDHIG1987174","RU106","3",,29.9,26,,135,,
"SDHIG1987174","SB125","3",,1,,,,,
"SDHIG1987175","CO60","3",,1,,,,,
"SDHIG1987175","CS134","3",,1,,,,,
"SDHIG1987175","CS137","3",,30.9,3,,253,,
"SDHIG1987175","K40","3",,1,,,,,
"SDHIG1987175","RU106","3",,5.8,,,,,
"SDHIG1987175","SB125","3",,1,,,,,
"SDHIG1987176","CO60","3",,1,,,,,
"SDHIG1987176","CS134","3",,1,,,,,
"SDHIG1987176","CS137","3",,30,2,,249,,
"SDHIG1987176","K40","3",,1,,,,,
"SDHIG1987176","RU106","3",,1,,,,,
"SDHIG1987176","SB125","3",,1,,,,,
"SDHIG1987177","CO60","3",,1,,,,,
"SDHIG1987177","CS134","3",,1,,,,,
"SDHIG1987177","CS137","3",,20.7,2,,162,,
"SDHIG1987177","K40","3",,690,1,,,,
"SDHIG1987177","RU106","3",,1,,,,,
"SDHIG1987177","SB125","3",,1,,,,,
"SDHIG1987178","CO60","3",,1,,,,,
"SDHIG1987178","CS134","3",,1,,,,,
"SDHIG1987178","CS137","3",,15,2,,132,,
"SDHIG1987178","K40","3",,712,1,,,,
"SDHIG1987178","RU106","3",,1,,,,,
"SDHIG1987178","SB125","3",,1,,,,,
"SDHIG1987179","CO60","3",,2.7,,,,,
"SDHIG1987179","CS134","3",,16.9,10,,54.1,,
"SDHIG1987179","CS137","3",,208,2,,666,,
"SDHIG1987179","K40","3",,816,5,,,,
"SDHIG1987179","RU106","3",,95.59999999999999,16,,306,,
"SDHIG1987179","SB125","3",,15.8,27,,50.6,,
"SDHIG1987180","CO60","3",,2.5,15,,13.3,,
"SDHIG1987180","CS134","3",,1.5,,,,,
"SDHIG1987180","CS137","3",,106,2,,562,,
"SDHIG1987180","K40","3",,563,3,,,,
"SDHIG1987180","RU106","3",,7.8,,,,,
"SDHIG1987180","SB125","3",,5.6,23,,29.7,,
"SDHIG1987181","CO60","3",,1.1,23,,5.83,,
"SDHIG1987181","CS134","3",,1,,,,,
"SDHIG1987181","CS137","3",,66.2,2,,351,,
"SDHIG1987181","K40","3",,503,3,,,,
"SDHIG1987181","RU106","3",,1,,,,,
"SDHIG1987181","SB125","3",,3.2,,,,,
"SDHIG1987182","CO60","3",,1,,,,,
"SDHIG1987182","CS134","3",,1,,,,,
"SDHIG1987182","CS137","3",,37,3,,300,,
"SDHIG1987182","K40","3",,563,3,,,,
"SDHIG1987182","RU106","3",,1,,,,,
"SDHIG1987182","SB125","3",,1,,,,,
"SDHIG1987183","CO60","3",,1,,,,,
"SDHIG1987183","CS134","3",,1,,,,,
"SDHIG1987183","CS137","3",,15.5,3,,124,,
"SDHIG1987183","K40","3",,678,2,,,,
"SDHIG1987183","RU106","3",,1,,,,,
"SDHIG1987183","SB125","3",,1,,,,,
"SDHIG1987184","CO60","3",,1,,,,,
"SDHIG1987184","CS134","3",,1,,,,,
"SDHIG1987184","CS137","3",,4.4,11,,33.4,,
"SDHIG1987184","K40","3",,728,2,,,,
"SDHIG1987184","RU106","3",,1,,,,,
"SDHIG1987184","SB125","3",,1,,,,,
"SDHIG1987185","CO60","3",,1,,,,,
"SDHIG1987185","CS134","3",,1,,,,,
"SDHIG1987185","CS137","3",,1.3,13,,12.7,,
"SDHIG1987185","K40","3",,758,1,,,,
"SDHIG1987185","RU106","3",,1,,,,,
"SDHIG1987185","SB125","3",,1,,,,,
"SDHIG1987188","CO60","3",,2.7,21,,12.1,,
"SDHIG1987188","CS134","3",,30,3,,135,,
"SDHIG1987188","CS137","3",,162,1,,729,,
"SDHIG1987188","K40","3",,762,2,,,,
"SDHIG1987188","RU103","3",,139,5,,626,,
"SDHIG1987188","SB125","3",,15.4,11,,69.3,,
"SDHIG1987189","CO60","3",,1.3,31,,7.41,,
"SDHIG1987189","CS134","3",,4.9,13,,27.9,,
"SDHIG1987189","CS137","3",,7,2,,399,,
"SDHIG1987189","K40","3",,718,2,,,,
"SDHIG1987189","RU106","3",,14.1,24,,80.40000000000001,,
"SDHIG1987189","SB125","3",,5.1,27,,29.1,,
"SDHIG1987190","CO60","3",,2.9,,,,,
"SDHIG1987190","CS134","3",,1.4,,,,,
"SDHIG1987190","CS137","3",,35,5,,252,,
"SDHIG1987190","K40","3",,678,3,,,,
"SDHIG1987190","RU106","3",,7.3,,,,,
"SDHIG1987190","SB125","3",,2.8,,,,,
"SDHIG1987191","CO60","3",,1,,,,,
"SDHIG1987191","CS134","3",,1,,,,,
"SDHIG1987191","CS137","3",,21,4,,25.4,,
"SDHIG1987191","K40","3",,714,2,,,,
"SDHIG1987191","RU106","3",,9.800000000000001,32,,119,,
"SDHIG1987191","SB125","3",,2.8,35,,339,,
"SDHIG1987192","CO60","3",,0.8,35,,9.92,,
"SDHIG1987192","CS134","3",,1,,,,,
"SDHIG1987192","CS137","3",,8.5,5,,105,,
"SDHIG1987192","K40","3",,688,2,,,,
"SDHIG1987192","RU106","3",,6.1,29,,75.59999999999999,,
"SDHIG1987192","SB125","3",,2.7,22,,33.5,,
"SDHIG1987193","CO60","3",,0.6,,,,,
"SDHIG1987193","CS134","3",,1,,,,,
"SDHIG1987193","CS137","3",,3.2,15,,43.2,,
"SDHIG1987193","K40","3",,685,2,,,,
"SDHIG1987193","RU106","3",,5.7,38,,76.90000000000001,,
"SDHIG1987193","SB125","3",,1.5,,,,,
"SDHIG1987194","CO60","3",,0.8,27,,11.4,,
"SDHIG1987194","CS134","3",,1,,,,,
"SDHIG1987194","CS137","3",,1.7,14,,24.3,,
"SDHIG1987194","K40","3",,688,1,,,,
"SDHIG1987194","RU106","3",,4.8,24,,68.59999999999999,,
"SDHIG1987194","SB125","3",,0.9,28,,12.9,,
"SDHIG1987195","CO60","3",,1.6,36,,15.2,,
"SDHIG1987195","CS134","3",,11.3,6,,107,,
"SDHIG1987195","CS137","3",,76,2,,722,,
"SDHIG1987195","K40","3",,588,3,,,,
"SDHIG1987195","RU106","3",,47,9,,447,,
"SDHIG1987195","SB125","3",,7.8,18,,74.09999999999999,,
"SDHIG1987196","CO60","3",,1.6,,,,,
"SDHIG1987196","CS134","3",,1.6,,,,,
"SDHIG1987196","CS137","3",,45,3,,315,,
"SDHIG1987196","K40","3",,616,4,,,,
"SDHIG1987196","RU106","3",,7.4,,,,,
"SDHIG1987196","SB125","3",,3.4,,,,,
"SDHIG1987197","CO60","3",,0.7,,,,,
"SDHIG1987197","CS134","3",,1,,,,,
"SDHIG1987197","CS137","3",,38,2,,270,,
"SDHIG1987197","K40","3",,606,2,,,,
"SDHIG1987197","RU106","3",,5.1,,,,,
"SDHIG1987197","SB125","3",,1.4,,,,,
"SDHIG1987198","CO60","3",,1,,,,,
"SDHIG1987198","CS134","3",,1,,,,,
"SDHIG1987198","CS137","3",,32,3,,413,,
"SDHIG1987198","K40","3",,617,3,,,,
"SDHIG1987198","RU106","3",,1,,,,,
"SDHIG1987198","SB125","3",,1,,,,,
"SDHIG1987199","CO60","3",,1,,,,,
"SDHIG1987199","CS134","3",,1,,,,,
"SDHIG1987199","CS137","3",,27,2,,300,,
"SDHIG1987199","K40","3",,574,2,,,,
"SDHIG1987199","RU106","3",,1,,,,,
"SDHIG1987199","SB125","3",,1,,,,,
"SDHIG1987200","CO60","3",,1,,,,,
"SDHIG1987200","CS134","3",,1,,,,,
"SDHIG1987200","CS137","3",,15.5,4,,208,,
"SDHIG1987200","K40","3",,567,3,,,,
"SDHIG1987200","RU106","3",,1,,,,,
"SDHIG1987200","SB125","3",,1,,,,,
"SDHIG1987201","CO60","3",,1,,,,,
"SDHIG1987201","CS134","3",,1,,,,,
"SDHIG1987201","CS137","3",,6.4,2,,94.09999999999999,,
"SDHIG1987201","K40","3",,535,1,,,,
"SDHIG1987201","RU106","3",,1,,,,,
"SDHIG1987201","SB125","3",,1,,,,,
"SDHIG1987202","CO60","3",,2.4,17,,9.359999999999999,,
"SDHIG1987202","CS134","3",,25.8,5,,101,,
"SDHIG1987202","CS137","3",,116,2,,452,,
"SDHIG1987202","K40","3",,735,3,,,,
"SDHIG1987202","RU106","3",,109,10,,425,,
"SDHIG1987202","SB125","3",,12.5,22,,48.8,,
"SDHIG1987203","CO60","3",,2.7,27,,9.720000000000001,,
"SDHIG1987203","CS134","3",,3.8,33,,13.7,,
"SDHIG1987203","CS137","3",,78,2,,281,,
"SDHIG1987203","K40","3",,750,3,,,,
"SDHIG1987203","RU106","3",,18,31,,64.8,,
"SDHIG1987203","SB125","3",,12.5,22,,45,,
"SDHIG1987204","CO60","3",,1,40,,4,,
"SDHIG1987204","CS134","3",,1.1,,,,,
"SDHIG1987204","CS137","3",,58,2,,232,,
"SDHIG1987204","K40","3",,761,2,,,,
"SDHIG1987204","RU106","3",,11,25,,44,,
"SDHIG1987204","SB125","3",,4,30,,16,,
"SDHIG1987205","CO60","3",,2.5,18,,16,,
"SDHIG1987205","CS134","3",,1.9,,,,,
"SDHIG1987205","CS137","3",,41,3,,262,,
"SDHIG1987205","K40","3",,718,3,,,,
"SDHIG1987205","RU106","3",,15,,,,,
"SDHIG1987205","SB125","3",,6.5,33,,41.6,,
"SDHIG1987206","CO60","3",,1.6,35,,11.8,,
"SDHIG1987206","CS134","3",,1,,,,,
"SDHIG1987206","CS137","3",,23,3,,170,,
"SDHIG1987206","K40","3",,696,2,,,,
"SDHIG1987206","RU106","3",,1,,,,,
"SDHIG1987206","SB125","3",,2.2,,,,,
"SDHIG1987207","CO60","3",,2.2,30,,17.8,,
"SDHIG1987207","CS134","3",,1,,,,,
"SDHIG1987207","CS137","3",,12.2,5,,98.8,,
"SDHIG1987207","K40","3",,749,2,,,,
"SDHIG1987207","RU106","3",,1,,,,,
"SDHIG1987207","SB125","3",,1,,,,,
"SDHIG1987208","CO60","3",,1.2,18,,9.359999999999999,,
"SDHIG1987208","CS134","3",,1,,,,,
"SDHIG1987208","CS137","3",,6,5,,46.8,,
"SDHIG1987208","K40","3",,863,1,,,,
"SDHIG1987208","RU106","3",,1,,,,,
"SDHIG1987208","SB125","3",,1,,,,,
"SDHIG1987211","CO60","3",,0.6,40,,7.8,,
"SDHIG1987211","CS134","3",,5.9,8,,76.7,,
"SDHIG1987211","CS137","3",,16.8,4,,218,,
"SDHIG1987211","K40","3",,471,2,,,,
"SDHIG1987211","RU106","3",,29,11,,377,,
"SDHIG1987211","SB125","3",,2.1,32,,27.3,,
"SDHIG1987212","CO60","3",,0.8,20,,10.3,,
"SDHIG1987212","CS134","3",,6.8,7,,87.7,,
"SDHIG1987212","CS137","3",,18.5,3,,239,,
"SDHIG1987212","K40","3",,464,2,,,,
"SDHIG1987212","RU106","3",,30,10,,387,,
"SDHIG1987212","SB125","3",,3.3,23,,42.6,,
"SDHIG1987213","CO60","3",,0.4,,,,,
"SDHIG1987213","CS134","3",,3.5,7,,45.2,,
"SDHIG1987213","CS137","3",,13.2,3,,170,,
"SDHIG1987213","K40","3",,453,1,,,,
"SDHIG1987213","RU106","3",,9.4,14,,121,,
"SDHIG1987213","SB125","3",,2.1,26,,27.1,,
"SDHIG1987216","CO60","3",,2.9,17,,22.3,,
"SDHIG1987216","CS134","3",,6.8,9,,52.4,,
"SDHIG1987216","CS137","3",,38,3,,293,,
"SDHIG1987216","K40","3",,573,3,,,,
"SDHIG1987216","RU106","3",,18,19,,139,,
"SDHIG1987216","SB125","3",,3.3,33,,25.4,,
"SDHIG1987217","CO60","3",,0.9,,,,,
"SDHIG1987217","CS134","3",,1.3,,,,,
"SDHIG1987217","CS137","3",,33,3,,290,,
"SDHIG1987217","K40","3",,557,2,,,,
"SDHIG1987217","RU106","3",,6.3,,,,,
"SDHIG1987217","SB125","3",,2.8,29,,24.6,,
"SDHIG1987218","CO60","3",,1.2,20,,12.2,,
"SDHIG1987218","CS134","3",,1.3,,,,,
"SDHIG1987218","CS137","3",,25,3,,255,,
"SDHIG1987218","K40","3",,587,2,,,,
"SDHIG1987218","RU106","3",,1,,,,,
"SDHIG1987218","SB125","3",,4.4,22,,44.9,,
"SDHIG1987219","CO60","3",,1.2,18,,19.1,,
"SDHIG1987219","CS134","3",,1,,,,,
"SDHIG1987219","CS137","3",,14.2,4,,226,,
"SDHIG1987219","K40","3",,585,2,,,,
"SDHIG1987219","RU106","3",,1,,,,,
"SDHIG1987219","SB125","3",,3.4,22,,54.1,,
"SDHIG1987220","CO60","3",,1.1,27,,17.8,,
"SDHIG1987220","CS134","3",,1,,,,,
"SDHIG1987220","CS137","3",,8,5,,130,,
"SDHIG1987220","K40","3",,558,2,,,,
"SDHIG1987220","RU106","3",,1,,,,,
"SDHIG1987220","SB125","3",,1,,,,,
"SDHIG1987221","CO60","3",,0.5,,,,,
"SDHIG1987221","CS134","3",,1,,,,,
"SDHIG1987221","CS137","3",,3.1,15,,51.2,,
"SDHIG1987221","K40","3",,562,2,,,,
"SDHIG1987221","RU106","3",,1,,,,,
"SDHIG1987221","SB125","3",,1,,,,,
"SDHIG1987222","CO60","3",,1,,,,,
"SDHIG1987222","CS134","3",,1,,,,,
"SDHIG1987222","CS137","3",,2.3,19,,37.7,,
"SDHIG1987222","K40","3",,552,2,,,,
"SDHIG1987222","RU106","3",,1,,,,,
"SDHIG1987222","SB125","3",,1,,,,,
"SDHIG1987225","CO60","3",,0.9,28,,12.7,,
"SDHIG1987225","CS134","3",,2.3,7,,32.4,,
"SDHIG1987225","CS137","3",,8.699999999999999,3,,123,,
"SDHIG1987225","K40","3",,363,1,,,,
"SDHIG1987225","RU106","3",,10,13,,141,,
"SDHIG1987225","SB125","3",,0.9,31,,12.7,,
"SDHIG1987226","CO60","3",,0.5,37,,6.8,,
"SDHIG1987226","CS134","3",,1.9,6,,25.8,,
"SDHIG1987226","CS137","3",,8.800000000000001,2,,120,,
"SDHIG1987226","K40","3",,384,1,,,,
"SDHIG1987226","RU106","3",,5,13,,68,,
"SDHIG1987226","SB125","3",,1.3,16,,17.7,,
"SDHIG1987227","CO60","3",,0.6,16,,8.699999999999999,,
"SDHIG1987227","CS134","3",,1.2,17,,17.4,,
"SDHIG1987227","CS137","3",,4.1,4,,59.5,,
"SDHIG1987227","K40","3",,445,1,,,,
"SDHIG1987227","RU106","3",,2.4,,,,,
"SDHIG1987227","SB125","3",,0.6,,,,,
"SDHIG1987248","CO60","3",,1,,,,,
"SDHIG1987248","CS134","3",,10,6,,88,,
"SDHIG1987248","CS137","3",,91.59999999999999,2,,806,,
"SDHIG1987248","K40","3",,632,2,,,,
"SDHIG1987248","RU106","3",,20.8,18,,183,,
"SDHIG1987248","SB125","3",,1,,,,,
"SDHIG1987249","CO60","3",,1,,,,,
"SDHIG1987249","CS134","3",,1,,,,,
"SDHIG1987249","CS137","3",,45.4,2,,386,,
"SDHIG1987249","K40","3",,601,2,,,,
"SDHIG1987249","RU106","3",,1,,,,,
"SDHIG1987249","SB125","3",,1,,,,,
"SDHIG1987250","CO60","3",,1,,,,,
"SDHIG1987250","CS134","3",,1,,,,,
"SDHIG1987250","CS137","3",,34.9,2,,457,,
"SDHIG1987250","K40","3",,602,2,,,,
"SDHIG1987250","RU106","3",,1,,,,,
"SDHIG1987250","SB125","3",,1,,,,,
"SDHIG1987251","CO60","3",,1,,,,,
"SDHIG1987251","CS134","3",,1,,,,,
"SDHIG1987251","CS137","3",,13.5,3,,190,,
"SDHIG1987251","K40","3",,594,2,,,,
"SDHIG1987251","RU106","3",,1,,,,,
"SDHIG1987251","SB125","3",,1,,,,,
"SDHIG1987254","CO60","3",,1,,,,,
"SDHIG1987254","CS134","3",,4.1,8,,46.7,,
"SDHIG1987254","CS137","3",,25.1,3,,286,,
"SDHIG1987254","K40","3",,461,3,,,,
"SDHIG1987254","RU106","3",,31.3,13,,357,,
"SDHIG1987254","SB125","3",,4.2,21,,47.9,,
"SDHIG1987255","CO60","3",,1,,,,,
"SDHIG1987255","CS134","3",,1.5,26,,17,,
"SDHIG1987255","CS137","3",,12.3,3,,139,,
"SDHIG1987255","K40","3",,388,2,,,,
"SDHIG1987255","RU106","3",,1,,,,,
"SDHIG1987255","SB125","3",,1,,,,,
"SDHIG1987258","CO60","3",,1,,,,,
"SDHIG1987258","CS134","3",,4.2,36,,17.6,,
"SDHIG1987258","CS137","3",,96.3,2,,405,,
"SDHIG1987258","K40","3",,742,3,,,,
"SDHIG1987258","RU106","3",,32.5,21,,137,,
"SDHIG1987258","SB125","3",,1,,,,,
"SDHIG1987259","CO60","3",,1,,,,,
"SDHIG1987259","CS134","3",,1,,,,,
"SDHIG1987259","CS137","3",,69.5,2,,563,,
"SDHIG1987259","K40","3",,658,2,,,,
"SDHIG1987259","RU106","3",,1,,,,,
"SDHIG1987259","SB125","3",,1,,,,,
"SDHIG1987260","CO60","3",,1,,,,,
"SDHIG1987260","CS134","3",,1,,,,,
"SDHIG1987260","CS137","3",,31.9,2,,396,,
"SDHIG1987260","K40","3",,624,2,,,,
"SDHIG1987260","RU106","3",,1,,,,,
"SDHIG1987260","SB125","3",,1,,,,,
"SDHIG1987261","CO60","3",,1,,,,,
"SDHIG1987261","CS134","3",,1,,,,,
"SDHIG1987261","CS137","3",,7.6,5,,94.2,,
"SDHIG1987261","K40","3",,626,2,,,,
"SDHIG1987261","RU106","3",,1,,,,,
"SDHIG1987261","SB125","3",,1,,,,,
"SDHIG1987264","CO60","3",,1,,,,,
"SDHIG1987264","CS134","3",,32.8,3,,125,,
"SDHIG1987264","CS137","3",,156,1,,593,,
"SDHIG1987264","K40","3",,676,2,,,,
"SDHIG1987264","RU106","3",,124,7,,470,,
"SDHIG1987264","SB125","3",,23.5,11,,89.3,,
"SDHIG1987265","CO60","3",,2.2,19,,9.02,,
"SDHIG1987265","CS134","3",,25,3,,103,,
"SDHIG1987265","CS137","3",,133,1,,547,,
"SDHIG1987265","K40","3",,626,2,,,,
"SDHIG1987265","RU106","3",,114,5,,467,,
"SDHIG1987265","SB125","3",,20.6,10,,84.5,,
"SDHIG1987266","CO60","3",,1,,,,,
"SDHIG1987266","CS134","3",,9.199999999999999,12,,37.7,,
"SDHIG1987266","CS137","3",,92.09999999999999,2,,378,,
"SDHIG1987266","K40","3",,631,3,,,,
"SDHIG1987266","RU106","3",,1,,,,,
"SDHIG1987266","SB125","3",,1,,,,,
"SDHIG1987267","CO60","3",,1,,,,,
"SDHIG1987267","CS134","3",,1,,,,,
"SDHIG1987267","CS137","3",,22.8,3,,208,,
"SDHIG1987267","K40","3",,543,2,,,,
"SDHIG1987267","RU106","3",,1,,,,,
"SDHIG1987267","SB125","3",,1,,,,,
"SDHIG1987268","CO60","3",,1,,,,,
"SDHIG1987268","CS134","3",,1,,,,,
"SDHIG1987268","CS137","3",,6.2,5,,60.1,,
"SDHIG1987268","K40","3",,547,1,,,,
"SDHIG1987268","RU106","3",,1,,,,,
"SDHIG1987268","SB125","3",,1,,,,,
"SDHIG1987281","CO60","3",,1,,,,,
"SDHIG1987281","CS134","3",,2.2,11,,28.8,,
"SDHIG1987281","CS137","3",,14.9,3,,195,,
"SDHIG1987281","K40","3",,537,2,,,,
"SDHIG1987281","RU106","3",,18.6,19,,244,,
"SDHIG1987281","SB125","3",,5.2,18,,68.09999999999999,,
"SDHIG1987282","CO60","3",,1,,,,,
"SDHIG1987282","CS134","3",,2.7,15,,35.1,,
"SDHIG1987282","CS137","3",,16.2,3,,211,,
"SDHIG1987282","K40","3",,527,2,,,,
"SDHIG1987282","RU106","3",,1,,,,,
"SDHIG1987282","SB125","3",,3.1,24,,40.3,,
"SDHIG1987283","CO60","3",,1,,,,,
"SDHIG1987283","CS134","3",,1,32,,19.4,,
"SDHIG1987283","CS137","3",,14.4,2,,279,,
"SDHIG1987283","K40","3",,454,1,,,,
"SDHIG1987283","RU106","3",,1,,,,,
"SDHIG1987283","SB125","3",,1.7,26,,33,,
